model_id,n_features,interaction_order,depth,n_nodes,n_decision_nodes,n_leaves,leaves_times_depth,elapsed_time
DT,14,1,25,9767,4883,4884,122100,0.7530083656311035
DT,14,1,25,9767,4883,4884,122100,0.7450065612792969
DT,14,1,25,9767,4883,4884,122100,0.7600002288818359
DT,14,1,25,9767,4883,4884,122100,0.7749991416931152
DT,14,1,25,9767,4883,4884,122100,0.743992805480957
DT,14,1,25,9767,4883,4884,122100,0.8219940662384033
DT,14,1,25,9767,4883,4884,122100,0.6980071067810059
DT,14,1,25,9767,4883,4884,122100,0.7930078506469727
DT,14,1,25,9767,4883,4884,122100,0.751007080078125
DT,14,1,25,9767,4883,4884,122100,0.7590076923370361
DT,14,2,25,9767,4883,4884,122100,0.806999921798706
DT,14,2,25,9767,4883,4884,122100,0.9185013771057129
DT,14,2,25,9767,4883,4884,122100,0.8150064945220947
DT,14,2,25,9767,4883,4884,122100,0.8359994888305664
DT,14,2,25,9767,4883,4884,122100,0.8270070552825928
DT,14,2,25,9767,4883,4884,122100,0.8309924602508545
DT,14,2,25,9767,4883,4884,122100,0.8199925422668457
DT,14,2,25,9767,4883,4884,122100,0.8419995307922363
DT,14,2,25,9767,4883,4884,122100,0.8279924392700195
DT,14,2,25,9767,4883,4884,122100,0.8130011558532715
DT,14,3,25,9767,4883,4884,122100,1.2029368877410889
DT,14,3,25,9767,4883,4884,122100,1.0999934673309326
DT,14,3,25,9767,4883,4884,122100,1.0929999351501465
DT,14,3,25,9767,4883,4884,122100,1.081993818283081
DT,14,3,25,9767,4883,4884,122100,1.0590002536773682
DT,14,3,25,9767,4883,4884,122100,1.0629925727844238
DT,14,3,25,9767,4883,4884,122100,1.045999526977539
DT,14,3,25,9767,4883,4884,122100,1.0699996948242188
DT,14,3,25,9767,4883,4884,122100,1.0530025959014893
DT,14,3,25,9767,4883,4884,122100,1.107004165649414
DT,14,4,25,9767,4883,4884,122100,1.792060375213623
DT,14,4,25,9767,4883,4884,122100,2.2140510082244873
DT,14,4,25,9767,4883,4884,122100,1.6262342929840088
DT,14,4,25,9767,4883,4884,122100,1.7071723937988281
DT,14,4,25,9767,4883,4884,122100,1.7530007362365723
DT,14,4,25,9767,4883,4884,122100,1.8599967956542969
DT,14,4,25,9767,4883,4884,122100,1.7399907112121582
DT,14,4,25,9767,4883,4884,122100,1.728001356124878
DT,14,4,25,9767,4883,4884,122100,1.7030017375946045
DT,14,4,25,9767,4883,4884,122100,1.744992733001709
DT,14,5,25,9767,4883,4884,122100,3.0679993629455566
DT,14,5,25,9767,4883,4884,122100,3.2549970149993896
DT,14,5,25,9767,4883,4884,122100,3.3509812355041504
DT,14,5,25,9767,4883,4884,122100,2.98106050491333
DT,14,5,25,9767,4883,4884,122100,3.027984142303467
DT,14,5,25,9767,4883,4884,122100,3.2179853916168213
DT,14,5,25,9767,4883,4884,122100,3.0349998474121094
DT,14,5,25,9767,4883,4884,122100,3.2798526287078857
DT,14,5,25,9767,4883,4884,122100,2.985995292663574
DT,14,5,25,9767,4883,4884,122100,2.9860167503356934
DT,14,6,25,9767,4883,4884,122100,4.853967189788818
DT,14,6,25,9767,4883,4884,122100,4.836989879608154
DT,14,6,25,9767,4883,4884,122100,4.27400016784668
DT,14,6,25,9767,4883,4884,122100,4.284312725067139
DT,14,6,25,9767,4883,4884,122100,4.26899790763855
DT,14,6,25,9767,4883,4884,122100,4.333008289337158
DT,14,6,25,9767,4883,4884,122100,4.8370020389556885
DT,14,6,25,9767,4883,4884,122100,4.288000106811523
DT,14,6,25,9767,4883,4884,122100,4.240394592285156
DT,14,6,25,9767,4883,4884,122100,4.319383144378662
